Block,Plant,Strain,weight
C,Dm,1194,1.54
D,Dm,1194,0.76
E,Dm,1194,0.67
V,Dm,1194,1.27
W,Dm,1194,NA
X,Dm,1194,0.83
Y,Dm,1194,0.87
Z,Dm,1194,0.41
A,Gc,1075,0.88
B,Gc,1075,NA
C,Gc,1075,0.89
D,Gc,1075,0.66
E,Gc,1075,0.77
V,Gc,1075,1.06
W,Gc,1075,0.93
X,Gc,1075,0.27
Y,Gc,1075,1.41
Z,Gc,1075,0.35
A,Gc,1088,NA
B,Gc,1088,NA
C,Gc,1088,0.13
D,Gc,1088,NA
E,Gc,1088,NA
V,Gc,1088,NA
W,Gc,1088,NA
X,Gc,1088,NA
Y,Gc,1088,NA
Z,Gc,1088,NA
A,Gc,1092,0.03
B,Gc,1092,NA
C,Gc,1092,NA
D,Gc,1092,NA
E,Gc,1092,NA
V,Gc,1092,NA
W,Gc,1092,NA
X,Gc,1092,NA
Y,Gc,1092,NA
Z,Gc,1092,0.08
A,Gc,1093,0.39
B,Gc,1093,0.5
C,Gc,1093,0.5
D,Gc,1093,0.33
E,Gc,1093,0.2
V,Gc,1093,0.31
W,Gc,1093,0.5
X,Gc,1093,0.65
Y,Gc,1093,0.35
Z,Gc,1093,0.59
A,Gc,1097,NA
B,Gc,1097,NA
C,Gc,1097,0.17
D,Gc,1097,0.17
E,Gc,1097,NA
V,Gc,1097,NA
W,Gc,1097,0.41
X,Gc,1097,NA
Y,Gc,1097,NA
Z,Gc,1097,0.18
A,Gc,1104,NA
B,Gc,1104,NA
C,Gc,1104,0.3
D,Gc,1104,NA
E,Gc,1104,0.3
V,Gc,1104,NA
W,Gc,1104,NA
X,Gc,1104,0.3
Y,Gc,1104,NA
Z,Gc,1104,NA
A,Gc,1129,0.23
B,Gc,1129,0.38
C,Gc,1129,NA
D,Gc,1129,0.21
E,Gc,1129,1.16
V,Gc,1129,0.36
W,Gc,1129,0.95
X,Gc,1129,0.79
Y,Gc,1129,0.39
Z,Gc,1129,0.28
A,Gc,1144,0.16
B,Gc,1144,0.38
C,Gc,1144,0.34
D,Gc,1144,NA
E,Gc,1144,0.67
V,Gc,1144,0.58
W,Gc,1144,0.49
X,Gc,1144,0.73
Y,Gc,1144,0.24
Z,Gc,1144,0.07
A,Gc,1147,NA
B,Gc,1147,0.2
C,Gc,1147,NA
D,Gc,1147,NA
E,Gc,1147,0.2
V,Gc,1147,0.23
W,Gc,1147,NA
X,Gc,1147,NA
Y,Gc,1147,0.02
Z,Gc,1147,0.17
A,Gc,1152,NA
B,Gc,1152,NA
C,Gc,1152,0.36
D,Gc,1152,0.42
E,Gc,1152,NA
V,Gc,1152,0.19
W,Gc,1152,0.32
X,Gc,1152,NA
Y,Gc,1152,NA
Z,Gc,1152,NA
A,Gc,1153,0.19
B,Gc,1153,0.26
C,Gc,1153,0.17
D,Gc,1153,0.15
E,Gc,1153,NA
V,Gc,1153,NA
W,Gc,1153,NA
X,Gc,1153,NA
Y,Gc,1153,0.18
Z,Gc,1153,0.19
A,Gc,1155,0.75
B,Gc,1155,0.33
C,Gc,1155,0.56
D,Gc,1155,0.2
E,Gc,1155,0.13
V,Gc,1155,NA
W,Gc,1155,NA
X,Gc,1155,NA
Y,Gc,1155,0.4
Z,Gc,1155,0.45
A,Gc,1158,NA
B,Gc,1158,NA
C,Gc,1158,NA
D,Gc,1158,NA
E,Gc,1158,NA
V,Gc,1158,NA
W,Gc,1158,NA
X,Gc,1158,0.11
Y,Gc,1158,NA
Z,Gc,1158,0.01
A,Gc,1160,NA
B,Gc,1160,0.22
C,Gc,1160,0.38
D,Gc,1160,0.39
E,Gc,1160,0.32
V,Gc,1160,0.31
W,Gc,1160,0.14
X,Gc,1160,0.22
Y,Gc,1160,0.27
Z,Gc,1160,0.37
A,Gc,1164,NA
B,Gc,1164,0.13
C,Gc,1164,0.15
D,Gc,1164,NA
E,Gc,1164,0.25
V,Gc,1164,0.08
W,Gc,1164,NA
X,Gc,1164,NA
Y,Gc,1164,0.21
Z,Gc,1164,NA
A,Gc,1169,0.6
B,Gc,1169,NA
C,Gc,1169,NA
D,Gc,1169,0.54
E,Gc,1169,0.52
V,Gc,1169,0.65
W,Gc,1169,0.29
X,Gc,1169,1.29
Y,Gc,1169,0.34
Z,Gc,1169,1.02
A,Gc,1174,NA
B,Gc,1174,0.17
C,Gc,1174,0.38
D,Gc,1174,0.28
E,Gc,1174,0.26
V,Gc,1174,0.31
W,Gc,1174,NA
X,Gc,1174,0.4
Y,Gc,1174,0.21
Z,Gc,1174,0.81
A,Gc,1175,0.2
B,Gc,1175,NA
C,Gc,1175,NA
D,Gc,1175,NA
E,Gc,1175,0.3
V,Gc,1175,0.09
W,Gc,1175,0.17
X,Gc,1175,0.13
Y,Gc,1175,NA
Z,Gc,1175,0.4
A,Gc,1178,NA
B,Gc,1178,NA
C,Gc,1178,0.06
D,Gc,1178,NA
E,Gc,1178,0.01
V,Gc,1178,NA
W,Gc,1178,NA
X,Gc,1178,NA
Y,Gc,1178,NA
Z,Gc,1178,0.05
A,Gc,1194,0.5
B,Gc,1194,NA
C,Gc,1194,1.39
D,Gc,1194,0.34
E,Gc,1194,0.18
V,Gc,1194,NA
W,Gc,1194,0.78
X,Gc,1194,1.1
Y,Gc,1194,NA
Z,Gc,1194,0.92
A,Hv,1075,1.14
B,Hv,1075,2.04
C,Hv,1075,2.95
D,Hv,1075,1.9
E,Hv,1075,2.47
V,Hv,1075,2.45
W,Hv,1075,2.39
X,Hv,1075,3.58
Y,Hv,1075,2.76
Z,Hv,1075,2.56
A,Hv,1088,2.02
B,Hv,1088,1.01
C,Hv,1088,0.25
D,Hv,1088,NA
E,Hv,1088,0.15
V,Hv,1088,0.09
W,Hv,1088,NA
X,Hv,1088,0.16
Y,Hv,1088,0.21
Z,Hv,1088,NA
A,Hv,1092,0.05
B,Hv,1092,0.26
C,Hv,1092,0.19
D,Hv,1092,0.91
E,Hv,1092,0.28
V,Hv,1092,NA
W,Hv,1092,0.16
X,Hv,1092,NA
Y,Hv,1092,0.19
Z,Hv,1092,0.07
A,Hv,1093,2.8
B,Hv,1093,2.46
C,Hv,1093,2.76
D,Hv,1093,2.84
E,Hv,1093,1.79
V,Hv,1093,1.66
W,Hv,1093,1.5
X,Hv,1093,2.48
Y,Hv,1093,2.56
Z,Hv,1093,2.67
A,Hv,1097,0.14
B,Hv,1097,0.29
C,Hv,1097,0.21
D,Hv,1097,0.95
E,Hv,1097,0.18
V,Hv,1097,NA
W,Hv,1097,NA
X,Hv,1097,NA
Y,Hv,1097,0.22
Z,Hv,1097,0.12
A,Hv,1104,0.8
B,Hv,1104,0.71
C,Hv,1104,0.81
D,Hv,1104,0.25
E,Hv,1104,0.89
V,Hv,1104,1.78
W,Hv,1104,0.5
X,Hv,1104,1.21
Y,Hv,1104,0.12
Z,Hv,1104,0.3
A,Hv,1129,3.35
B,Hv,1129,2.29
C,Hv,1129,2.27
D,Hv,1129,2.64
E,Hv,1129,1.92
V,Hv,1129,4.21
W,Hv,1129,3.58
X,Hv,1129,2.78
Y,Hv,1129,1.7
Z,Hv,1129,2.7
A,Hv,1144,1.77
B,Hv,1144,NA
C,Hv,1144,2.11
D,Hv,1144,2.02
E,Hv,1144,2.58
V,Hv,1144,2.08
W,Hv,1144,2.45
X,Hv,1144,2.61
Y,Hv,1144,1.89
Z,Hv,1144,1.66
A,Hv,1147,0.06
B,Hv,1147,1.64
C,Hv,1147,2.6
D,Hv,1147,2.12
E,Hv,1147,2.5
V,Hv,1147,2.07
W,Hv,1147,2.16
X,Hv,1147,1.26
Y,Hv,1147,2.58
Z,Hv,1147,1.69
A,Hv,1152,2.37
B,Hv,1152,2.86
C,Hv,1152,2.04
D,Hv,1152,2.11
E,Hv,1152,1.95
V,Hv,1152,2.61
W,Hv,1152,2.44
X,Hv,1152,3.2
Y,Hv,1152,1.77
Z,Hv,1152,2.85
A,Hv,1153,0.99
B,Hv,1153,2.57
C,Hv,1153,1.38
D,Hv,1153,2.01
E,Hv,1153,1.52
V,Hv,1153,2.1
W,Hv,1153,0.88
X,Hv,1153,2.31
Y,Hv,1153,1.92
Z,Hv,1153,2.1
A,Hv,1155,2.57
B,Hv,1155,1.12
C,Hv,1155,0.66
D,Hv,1155,3.01
E,Hv,1155,3
V,Hv,1155,3.24
W,Hv,1155,2.52
X,Hv,1155,3.2
Y,Hv,1155,3.53
Z,Hv,1155,2.48
A,Hv,1158,2.51
B,Hv,1158,1.12
C,Hv,1158,0.22
D,Hv,1158,0.14
E,Hv,1158,1.31
V,Hv,1158,0.64
W,Hv,1158,0.38
X,Hv,1158,2.55
Y,Hv,1158,1.23
Z,Hv,1158,0.13
A,Hv,1160,1.63
B,Hv,1160,1.23
C,Hv,1160,1.76
D,Hv,1160,1.53
E,Hv,1160,0.57
V,Hv,1160,1.32
W,Hv,1160,2.04
X,Hv,1160,1.44
Y,Hv,1160,2.59
Z,Hv,1160,1.31
A,Hv,1164,NA
B,Hv,1164,2.95
C,Hv,1164,1.33
D,Hv,1164,1.93
E,Hv,1164,1.35
V,Hv,1164,2.53
W,Hv,1164,2.46
X,Hv,1164,2.46
Y,Hv,1164,2.56
Z,Hv,1164,0.43
A,Hv,1169,0.88
B,Hv,1169,2.65
C,Hv,1169,3.12
D,Hv,1169,2.72
E,Hv,1169,2.86
V,Hv,1169,3.29
W,Hv,1169,3.31
X,Hv,1169,2.76
Y,Hv,1169,2.06
Z,Hv,1169,1.87
A,Hv,1174,3.58
B,Hv,1174,0.34
C,Hv,1174,0.11
D,Hv,1174,3.29
E,Hv,1174,2.1
V,Hv,1174,2.09
W,Hv,1174,0.23
X,Hv,1174,3.22
Y,Hv,1174,2.93
Z,Hv,1174,3.43
A,Hv,1175,2.08
B,Hv,1175,2.75
C,Hv,1175,1.21
D,Hv,1175,2.92
E,Hv,1175,2.56
V,Hv,1175,2.99
W,Hv,1175,2.78
X,Hv,1175,2.86
Y,Hv,1175,2.33
Z,Hv,1175,1.52
A,Hv,1178,0.49
B,Hv,1178,0.17
C,Hv,1178,0.13
D,Hv,1178,0.15
E,Hv,1178,0.15
V,Hv,1178,0.67
W,Hv,1178,NA
X,Hv,1178,0.18
Y,Hv,1178,0.08
Z,Hv,1178,NA
A,Hv,1194,0.22
B,Hv,1194,2.99
C,Hv,1194,2.14
D,Hv,1194,1.2
E,Hv,1194,2.6
V,Hv,1194,2.06
W,Hv,1194,1.61
X,Hv,1194,4.76
Y,Hv,1194,2.08
Z,Hv,1194,2.26
A,Oe,1075,0.24
B,Oe,1075,NA
C,Oe,1075,NA
D,Oe,1075,0.36
E,Oe,1075,NA
V,Oe,1075,0.8
W,Oe,1075,0.7
X,Oe,1075,0.3
Y,Oe,1075,0.26
Z,Oe,1075,0.77
A,Oe,1088,NA
B,Oe,1088,NA
C,Oe,1088,0.09
D,Oe,1088,NA
E,Oe,1088,NA
V,Oe,1088,NA
W,Oe,1088,0.07
X,Oe,1088,NA
Y,Oe,1088,0.17
Z,Oe,1088,NA
A,Oe,1092,NA
B,Oe,1092,0.02
C,Oe,1092,NA
D,Oe,1092,NA
E,Oe,1092,NA
V,Oe,1092,NA
W,Oe,1092,NA
X,Oe,1092,NA
Y,Oe,1092,0.17
Z,Oe,1092,NA
A,Oe,1093,0.53
B,Oe,1093,NA
C,Oe,1093,0.87
D,Oe,1093,NA
E,Oe,1093,0.06
V,Oe,1093,NA
W,Oe,1093,0.2
X,Oe,1093,0.1
Y,Oe,1093,NA
Z,Oe,1093,0.3
A,Oe,1097,0.27
B,Oe,1097,NA
C,Oe,1097,NA
D,Oe,1097,NA
E,Oe,1097,NA
V,Oe,1097,NA
W,Oe,1097,0.5
X,Oe,1097,NA
Y,Oe,1097,NA
Z,Oe,1097,NA
A,Oe,1104,NA
B,Oe,1104,0.08
C,Oe,1104,NA
D,Oe,1104,0.27
E,Oe,1104,NA
V,Oe,1104,NA
W,Oe,1104,0.12
X,Oe,1104,NA
Y,Oe,1104,NA
Z,Oe,1104,NA
A,Oe,1129,0.27
B,Oe,1129,NA
C,Oe,1129,0.19
D,Oe,1129,NA
E,Oe,1129,0.38
V,Oe,1129,0.13
W,Oe,1129,NA
X,Oe,1129,NA
Y,Oe,1129,0.03
Z,Oe,1129,NA
A,Oe,1144,NA
B,Oe,1144,NA
C,Oe,1144,1.17
D,Oe,1144,NA
E,Oe,1144,0.12
V,Oe,1144,NA
W,Oe,1144,NA
X,Oe,1144,0.2
Y,Oe,1144,0.6
Z,Oe,1144,0.56
A,Oe,1147,NA
B,Oe,1147,NA
C,Oe,1147,NA
D,Oe,1147,0.26
E,Oe,1147,NA
V,Oe,1147,0.12
W,Oe,1147,NA
X,Oe,1147,0.05
Y,Oe,1147,0.13
Z,Oe,1147,0.12
A,Oe,1152,0.15
B,Oe,1152,0.19
C,Oe,1152,0.43
D,Oe,1152,0.18
E,Oe,1152,NA
V,Oe,1152,0.27
W,Oe,1152,NA
X,Oe,1152,0.3
Y,Oe,1152,0.24
Z,Oe,1152,0.16
A,Oe,1153,0.34
B,Oe,1153,NA
C,Oe,1153,0.25
D,Oe,1153,0.14
E,Oe,1153,NA
V,Oe,1153,0.16
W,Oe,1153,0.13
X,Oe,1153,0.29
Y,Oe,1153,0.18
Z,Oe,1153,0.03
A,Oe,1155,NA
B,Oe,1155,0.31
C,Oe,1155,0.19
D,Oe,1155,NA
E,Oe,1155,NA
V,Oe,1155,0.69
W,Oe,1155,NA
X,Oe,1155,NA
Y,Oe,1155,0.27
Z,Oe,1155,0.03
A,Oe,1158,NA
B,Oe,1158,NA
C,Oe,1158,0.01
D,Oe,1158,0.07
E,Oe,1158,0.14
V,Oe,1158,0.16
W,Oe,1158,NA
X,Oe,1158,0.02
Y,Oe,1158,NA
Z,Oe,1158,NA
A,Oe,1160,0.45
B,Oe,1160,NA
C,Oe,1160,NA
D,Oe,1160,0.24
E,Oe,1160,NA
V,Oe,1160,NA
W,Oe,1160,NA
X,Oe,1160,0.14
Y,Oe,1160,NA
Z,Oe,1160,0.16
A,Oe,1164,0.76
B,Oe,1164,NA
C,Oe,1164,0.13
D,Oe,1164,NA
E,Oe,1164,NA
V,Oe,1164,NA
W,Oe,1164,NA
X,Oe,1164,0.04
Y,Oe,1164,0.28
Z,Oe,1164,NA
A,Oe,1169,0.29
B,Oe,1169,0.24
C,Oe,1169,0.28
D,Oe,1169,NA
E,Oe,1169,0.1
V,Oe,1169,NA
W,Oe,1169,NA
X,Oe,1169,NA
Y,Oe,1169,NA
Z,Oe,1169,NA
A,Oe,1174,0.22
B,Oe,1174,NA
C,Oe,1174,NA
D,Oe,1174,NA
E,Oe,1174,0.34
V,Oe,1174,0.02
W,Oe,1174,NA
X,Oe,1174,NA
Y,Oe,1174,0.46
Z,Oe,1174,NA
A,Oe,1175,NA
B,Oe,1175,NA
C,Oe,1175,NA
D,Oe,1175,0.18
E,Oe,1175,0.07
V,Oe,1175,0.23
W,Oe,1175,0.3
X,Oe,1175,0.35
Y,Oe,1175,0.72
Z,Oe,1175,NA
A,Oe,1178,NA
B,Oe,1178,NA
C,Oe,1178,0.17
D,Oe,1178,NA
E,Oe,1178,0.09
V,Oe,1178,0.08
W,Oe,1178,NA
X,Oe,1178,0.01
Y,Oe,1178,0.04
Z,Oe,1178,NA
A,Oe,1194,0.33
B,Oe,1194,NA
C,Oe,1194,0.06
D,Oe,1194,0.01
E,Oe,1194,0.66
V,Oe,1194,0.16
W,Oe,1194,NA
X,Oe,1194,NA
Y,Oe,1194,0.26
Z,Oe,1194,0.42
